instrument,ID,x0,y0,raft,sensor,hyeyun_orientation,orientation,orientation_2
ITL,R01_S02,-273.83046847235266,-287.2314970707116,R01,S02,1,2,2.0
ITL,R01_S21,4281.260646780948,4218.0526244210205,R01,S21,3,-1,
ITL,R01_S22,4227.918831347927,4089.281461458806,R01,S22,3,3,3.0
ITL,R01_S10,nan,nan,R01,S10,3,3,3.0
ITL,R01_S11,4266.1487084920345,4240.069487214333,R01,S11,3,3,3.0
ITL,R01_S20,-184.95245462881113,4300.149396227187,R01,S20,2,4,4.0
E2V,R30_S12,-365.09904608063357,-571.0134275135613,R30,S12,1,4,4.0
E2V,R30_S00,4557.379200510445,-589.0854864896965,R30,S00,4,1,1.0
E2V,R30_S01,-524.3968052533844,-558.7973034953974,R30,S01,1,-1,
E2V,R30_S02,-423.56578254512254,-621.4385850572022,R30,S02,1,2,2.0
E2V,R30_S21,4519.854950882172,-552.8673695582213,R30,S21,4,1,1.0
E2V,R30_S22,-422.93911190120053,4544.32723234917,R30,S22,2,4,
E2V,R30_S10,-271.96666752708404,-523.7799441923539,R30,S10,1,-1,
E2V,R30_S11,-306.9559457215023,-494.0793740191845,R30,S11,1,2,2.0
E2V,R30_S20,4696.546421339408,-597.1342877503054,R30,S20,4,1,
ITL,R02_S12,4299.656039589013,-328.0532173148307,R02,S12,4,1,1.0
ITL,R02_S00,4170.110698785279,-376.1308774399865,R02,S00,4,1,1.0
ITL,R02_S01,4158.135314249249,4098.9575007264775,R02,S01,3,3,3.0
ITL,R02_S02,-324.0800790107512,4087.6567781200033,R02,S02,2,4,4.0
ITL,R02_S21,4208.643581560474,4079.204843150917,R02,S21,3,3,3.0
ITL,R02_S22,4290.091616684234,4276.724446916707,R02,S22,3,-1,
ITL,R02_S10,-182.00955029746183,-47.689531278984646,R02,S10,1,2,2.0
ITL,R02_S11,-341.7222042590527,-408.5743945795471,R02,S11,1,2,2.0
ITL,R02_S20,-191.21840741432231,-191.80338070277685,R02,S20,1,-1,
ITL,R20_S12,4314.14033944985,4263.979263854925,R20,S12,3,3,
ITL,R20_S00,-217.99606053377,-254.27776487216556,R20,S00,1,2,2.0
ITL,R20_S01,4393.896991614495,4321.85342800776,R20,S01,3,3,3.0
ITL,R20_S02,-131.58804508366495,4289.687099373252,R20,S02,2,4,
ITL,R20_S21,-264.4402134683294,4118.183715265605,R20,S21,2,4,4.0
ITL,R20_S22,4140.467659757468,-353.13933220205644,R20,S22,4,1,1.0
ITL,R20_S10,4390.913777893642,-194.01895326833005,R20,S10,4,1,1.0
ITL,R20_S11,4348.443153029972,4330.378297107742,R20,S11,3,3,3.0
ITL,R20_S20,4259.235042653313,-200.39898116838538,R20,S20,4,1,1.0
E2V,R32_S12,4697.757525953265,-648.7848232908602,R32,S12,4,1,1.0
E2V,R32_S00,4422.986295724266,-347.74276698126255,R32,S00,4,-1,
E2V,R32_S01,-364.8377581911101,-575.8535354095629,R32,S01,1,2,2.0
E2V,R32_S02,4615.485363412869,-654.3991773210877,R32,S02,4,1,1.0
E2V,R32_S21,4529.292496354769,-556.6852427361823,R32,S21,4,1,1.0
E2V,R32_S22,4573.229702373178,-586.0992196103572,R32,S22,4,1,
E2V,R32_S10,4708.714003445216,-611.5527235036666,R32,S10,4,1,1.0
E2V,R32_S11,4474.6019672085995,-627.8404528668952,R32,S11,4,1,1.0
E2V,R32_S20,4679.16731477622,-602.749191967672,R32,S20,4,1,1.0
E2V,R24_S12,4445.279296773771,-567.3449562952708,R24,S12,4,1,1.0
E2V,R24_S00,4664.15142276972,4487.3635122962705,R24,S00,3,3,3.0
