instrument,ID,x0,y0,hyeyun_orientation
E2V,R23_S12,4689.520469024401,-613.4497345694629,4
E2V,R23_S00,-474.4408011238171,-521.3581498790716,1
E2V,R23_S01,-444.40174886513563,-634.6285115411094,1
E2V,R23_S02,-576.8413601704099,-628.5573213955823,1
E2V,R23_S21,-478.0090414521361,-591.7585017449271,1
E2V,R23_S22,-520.6982512574181,-727.8302884601297,1
E2V,R23_S10,-416.5476989197163,-533.8058431427437,1
E2V,R23_S11,4620.70344440495,-651.29758459555,4
E2V,R23_S20,-428.012059957935,-636.3022037727818,1
E2V,R14_S12,-441.0321526478613,-571.7177904086077,1
E2V,R14_S00,4606.923357673218,-520.1914486113706,4
E2V,R14_S01,-177.86836664505904,-416.6274661746474,1
E2V,R14_S02,-351.0051242230478,-537.0705270810383,1
E2V,R14_S21,4615.254710561611,-532.2106006741503,4
E2V,R14_S22,4649.1985965094345,-559.3013345472201,4
E2V,R14_S10,-537.8169057147261,-641.13033318056,1
E2V,R14_S11,-377.4180652911252,-614.4178947524855,1
E2V,R14_S20,-575.9711717793739,-566.8351900834017,1
E2V,R31_S12,-614.1438151382856,4493.752387204239,2
E2V,R31_S00,4601.213662349821,-499.55246637249394,4
E2V,R31_S01,-505.25244524442246,-593.7692982130475,1
E2V,R31_S02,4528.690054505152,-551.6989941645832,4
E2V,R31_S21,-464.73496281513053,-543.330886868493,1
E2V,R31_S22,-462.9006186532498,-465.7054301653465,1
E2V,R31_S10,4715.647982407026,-595.9497898249836,4
E2V,R31_S11,4685.194857184391,-622.530305754486,4
E2V,R31_S20,4654.293970256939,-608.5447825393784,4
E2V,R34_S12,4519.741650202665,4238.094148451125,3
E2V,R34_S00,-433.82562369782426,-550.8344487411355,1
E2V,R34_S01,-576.5601091348826,4587.731396161171,2
E2V,R34_S02,4674.695756033261,-546.0207613462798,4
E2V,R34_S21,4658.565448920715,-542.5215540687784,4
E2V,R34_S22,nan,nan,4
E2V,R34_S10,nan,nan,4
E2V,R34_S11,-408.1640255110587,-582.6142278802502,1
E2V,R34_S20,4748.122129844249,-661.808180663118,4
E2V,R12_S12,-498.28482561419065,-592.3888280424517,1
E2V,R12_S00,-461.02015133962004,-649.9279097886063,1
E2V,R12_S01,nan,nan,1
E2V,R12_S02,4611.35665972352,4449.798656152684,3
E2V,R12_S21,-510.40106465569954,-594.9957840904807,1
E2V,R12_S22,-395.53282152268963,-547.2003239930932,1
E2V,R12_S10,-375.20449274286597,-571.6915742156024,1
E2V,R12_S11,4609.957903490291,-620.6689211369805,4
E2V,R12_S20,-375.82037817326074,-583.0636808212869,1
E2V,R33_S12,4683.085686169212,4539.041878519817,3
E2V,R33_S00,-463.16196045302416,-547.8739768558588,1
E2V,R33_S01,nan,nan,1
E2V,R33_S02,4453.542071155427,-558.4890882350012,4
E2V,R33_S21,4283.9115102789965,-46.99695999890156,4
E2V,R33_S22,4501.686608602613,-579.9497641514747,4
E2V,R33_S10,-432.1006880741029,-584.0676356594113,1
E2V,R33_S11,4514.531704174028,-541.9656945548105,4
E2V,R33_S20,4552.969277122246,4444.472354717516,3
ITL,R01_S12,4204.629160189283,4175.854376444461,3
