instrument,ID,x0,y0,orientation
ITL,R22_S02,-363.9165838554202,4293.685079391611,2
ITL,R22_S01,4176.656089790667,-361.8306338591358,4
ITL,R22_S10,-317.5242955284808,-346.0169984814794,1
ITL,R22_S22,-228.7854823524599,4209.906678501468,2
ITL,R22_S12,-309.4120292472025,-352.60124296096683,1
ITL,R22_S20,4710.878589960957,-709.1586695932061,4
ITL,R22_S21,-315.7547665127682,-386.6225444170988,1
ITL,R22_S00,4184.402309506069,4111.161099212587,3
ITL,R22_S11,-345.6496367312683,-291.86615692332333,1
